Brand,Size,Flavor,Rating,Price,CALORIES,TOTAL FAT,CHOLESTEROL,SODIUM,TOTAL CARBOHYDRATE,PROTEIN,CALCIUM,POTASSIUM,DIETARY FIBER,IRON,TOTAL SUGARS,VITAMIN D,VITAMIN D.1,PHOSPHORUS,MAGNESIUM,VITAMIN C,VITAMIN D.2,NIACIN,VITAMIN B6,VITAMIN B12,NIACIN.1,BIOTIN,FOLATE,Category
JYM Supplement Science,2 Lbs.,Chocolate Mousse,9.2,$34.99,150,3500.0,15.0,190.0,6000.0,24000.0,424.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,2 Lbs.,Chocolate Peanut Butter,9.2,$34.99,160,4000.0,15.0,230.0,6000.0,24000.0,435.0,260.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,2 Lbs.,Rocky Road,9.2,$34.99,170,4000.0,15.0,280.0,8000.0,24000.0,434.0,269.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,2 Lbs.,S'mores,9.2,$34.99,150,3000.0,15.0,200.0,6000.0,24000.0,418.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,2 Lbs.,Tahitian Vanilla Bean,9.2,$34.99,140,2500.0,15.0,220.0,4000.0,24000.0,413.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,2 Lbs.,Vanilla Peanut Butter Swirl,9.2,$34.99,150,3500.0,10.0,220.0,5000.0,24000.0,440.0,125.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,4 Lbs.,Chocolate Cookie Crunch,9.2,$56.98,150,3000.0,15.0,210.0,7000.0,24000.0,419.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,4 Lbs.,Chocolate Mousse,9.2,$56.98,150,3500.0,15.0,190.0,6000.0,24000.0,424.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,4 Lbs.,Chocolate Peanut Butter,9.2,$56.98,160,4000.0,15.0,230.0,6000.0,24000.0,435.0,260.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MICELLAR CASEIN PROTEIN
JYM Supplement Science,4 Lbs.,Cookies & Cream,9.2,$56.98,150,3000.0,15.0,200.0,6000.0,24000.0,415.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MICELLAR CASEIN PROTEIN
JYM Supplement Science,4 Lbs.,Rocky Road,9.2,$56.98,170,4000.0,15.0,280.0,8000.0,24000.0,434.0,269.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MASS GAINERS
JYM Supplement Science,4 Lbs.,S'mores,9.2,$56.98,150,3000.0,15.0,200.0,6000.0,24000.0,418.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,4 Lbs.,Tahitian Vanilla Bean,9.2,$56.98,140,2500.0,15.0,220.0,4000.0,24000.0,413.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
JYM Supplement Science,4 Lbs.,Vanilla Peanut Butter Swirl,9.2,$56.98,150,3500.0,10.0,220.0,5000.0,24000.0,440.0,125.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,2 Lbs.,Chocolate,8.8,$20.24,130,2000.0,45.0,160.0,3000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,2 Lbs.,Mocha Cappuccino,8.8,$20.24,130,2000.0,45.0,160.0,3000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,2 Lbs.,Oatmeal Cookie,8.8,$20.24,130,2000.0,55.0,180.0,2000.0,25000.0,110.0,150.0,0.0,0.2,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,2 Lbs.,Vanilla,8.8,$20.24,130,2000.0,50.0,160.0,2000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,5 Lbs.,Chocolate,8.8,$37.49,130,2000.0,45.0,160.0,3000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,5 Lbs.,Mocha Cappuccino,8.8,$37.49,130,2000.0,45.0,160.0,3000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,5 Lbs.,Oatmeal Cookie,8.8,$37.49,130,2000.0,50.0,210.0,3000.0,25000.0,130.0,140.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,5 Lbs.,Strawberry,8.8,$37.49,130,2000.0,50.0,150.0,2000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,5 Lbs.,Vanilla,8.8,$37.49,130,2000.0,50.0,160.0,2000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
Bodybuilding.com Signature,1 - 57g Bar,Chocolate Chip Cookie Dough,9.4,$3.74,230,9000.0,35.0,350.0,20000.0,20000.0,80.0,60.0,0.0,0.8,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WHEY PROTEIN
